Rule
['High CN'] --> ['Moderate PostTest']
['High CRF'] --> ['Moderate PostTest']
['High ESF'] --> ['Moderate PostTest']
['Low PreTest'] --> ['High PostTest']
['Low TP'] --> ['High PostTest']
['Moderate Stress'] --> ['High PostTest']
['Severe Depression'] --> ['High PostTest']
['High TN'] --> ['Moderate PostTest']
['Mild Stress'] --> ['Moderate PostTest']
['Moderate Anxiety'] --> ['Moderate PostTest']
['Moderate Depression'] --> ['Moderate PostTest']
"['High CN', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'High CN'] --> ['High PostTest']"
"['High CN', 'Normal Depression'] --> ['High PostTest']"
"['High CN', 'Normal Stress'] --> ['High PostTest']"
"['Positive Delta', 'High CN'] --> ['High PostTest']"
"['High CP', 'Moderate Stress'] --> ['High PostTest']"
"['Low ESF', 'High CRF'] --> ['High PostTest']"
"['Neutral Delta', 'High CRF'] --> ['High PostTest']"
"['High ESF', 'Mild Depression'] --> ['High PostTest']"
"['High ESF', 'Neutral Delta'] --> ['High PostTest']"
"['High PreTest', 'Moderate Stress'] --> ['High PostTest']"
"['Moderate PreTest', 'High TN'] --> ['High PostTest']"
"['High TN', 'Normal Depression'] --> ['High PostTest']"
"['High TN', 'Normal Stress'] --> ['High PostTest']"
"['Moderate Stress', 'High TP'] --> ['High PostTest']"
"['Low TP', 'Low CN'] --> ['High PostTest']"
"['Low CN', 'Mild Stress'] --> ['High PostTest']"
"['Low ESF', 'Mild Depression'] --> ['High PostTest']"
"['Low ESF', 'Severe Anxiety'] --> ['High PostTest']"
"['Mild Stress', 'Low TN'] --> ['High PostTest']"
"['Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Low TP', 'Moderate ESF'] --> ['High PostTest']"
"['Low TP', 'Normal Stress'] --> ['High PostTest']"
"['Mild Anxiety', 'Mild Stress'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Neutral Delta', 'Mild Depression'] --> ['High PostTest']"
"['Mild Depression', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Mild Stress'] --> ['High PostTest']"
"['Mild Stress', 'Neutral Delta'] --> ['High PostTest']"
"['Neutral Delta', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate Stress', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Positive Delta', 'Moderate Stress'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Moderate CP', 'Mild Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Moderate TN', 'Mild Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Moderate TP', 'Mild Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'High PreTest', 'Low CN', 'Mild Stress'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Mild Stress', 'Moderate ESF'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Positive Delta', 'Mild Stress'] --> ['High PostTest']"
"['Moderate CRF', 'High PreTest', 'Low CN', 'Severe Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Severe Anxiety', 'High PreTest', 'Low CN', 'Normal Depression'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Positive Delta', 'Severe Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Mild Anxiety', 'Moderate CP', 'Low TN'] --> ['High PostTest']"
"['High PreTest', 'Mild Anxiety', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'High PreTest', 'Mild Anxiety', 'Mild Depression'] --> ['High PostTest']"
"['High PreTest', 'Mild Anxiety', 'Moderate TN', 'Mild Depression'] --> ['High PostTest']"
"['High PreTest', 'Mild Anxiety', 'Positive Delta', 'Mild Depression'] --> ['High PostTest']"
"['Moderate CRF', 'High PreTest', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Moderate TN', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CN', 'High PreTest', 'Normal Anxiety', 'Moderate TP'] --> ['High PostTest']"
"['Severe Anxiety', 'High PreTest', 'Positive Delta', 'Normal Depression'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['Low ESF', 'Low CN', 'Moderate Anxiety', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'Low CN', 'Moderate TN', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Low CN', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Low CN', 'Moderate ESF', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Low CN', 'Moderate TN', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'Moderate Anxiety', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'Moderate CN', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'Moderate TN', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Low TN', 'Moderate CP', 'Mild Depression', 'High TP'] --> ['High PostTest']"
"['Low TN', 'Moderate CP', 'Moderate PreTest', 'High TP'] --> ['High PostTest']"
"['Low TN', 'Moderate CP', 'Negative Delta', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Mild Depression', 'High TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Positive Delta', 'Mild Depression', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Mild Anxiety', 'Moderate CRF', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Mild Anxiety', 'Positive Delta', 'High TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate CP', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Positive Delta', 'Moderate CP', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Negative Delta', 'High TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Positive Delta', 'Moderate TN', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Normal Stress', 'Mild Depression', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Depression', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Mild Depression', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate TN', 'Mild Depression', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Positive Delta', 'Mild Depression', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate CP', 'Normal Stress', 'Moderate Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Moderate CP', 'Moderate PreTest', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Moderate CP', 'Normal Stress', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Moderate PreTest', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Moderate PreTest', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Normal Stress', 'Moderate PreTest', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Neutral Delta', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate CN', 'Normal Stress', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate CP', 'Moderate PreTest', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate CP', 'Moderate ESF', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate CP', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate CP', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate CP', 'Normal Stress', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Severe Anxiety', 'Negative Delta', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Severe Anxiety', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Normal Stress', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate ESF', 'Negative Delta', 'High TP'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate ESF', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Normal Stress', 'Moderate ESF', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate TN', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate TN', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Neutral Delta', 'Moderate TN', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Low CN', 'Positive Delta', 'Mild Depression'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Low CN', 'Negative Delta'] --> ['High PostTest']"
"['Mild Anxiety', 'Low CN', 'Positive Delta', 'Moderate TN'] --> ['High PostTest']"
"['Normal Depression', 'Mild Anxiety', 'Low CN', 'Negative Delta'] --> ['High PostTest']"
"['Moderate CP', 'Low CN', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate CP', 'Low CN', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'Low CN', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Severe Anxiety', 'Low CN', 'Normal Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Low CN', 'Normal Depression', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'Low CN', 'Moderate TN', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Mild Anxiety', 'Positive Delta', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Negative Delta', 'Low TN'] --> ['High PostTest']"
"['Moderate CP', 'Moderate ESF', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate PreTest', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Depression', 'Normal Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate TP', 'Moderate ESF', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Positive Delta', 'Mild Depression', 'Normal Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate CP', 'Moderate ESF', 'Moderate Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate ESF', 'Moderate Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate TP', 'Moderate ESF', 'Moderate Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate PreTest', 'Normal Stress', 'Moderate Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Normal Depression', 'Negative Delta'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Normal Stress', 'Negative Delta'] --> ['High PostTest']"
"['Moderate CN', 'Mild Depression', 'Normal Anxiety', 'Moderate CRF'] --> ['High PostTest']"
"['Moderate CN', 'Moderate PreTest', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate CP', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate PreTest', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate ESF', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate TN', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate TP', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Normal Stress', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate CN', 'Severe Anxiety', 'Positive Delta', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CN', 'Positive Delta', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate TP', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CRF', 'Positive Delta', 'Severe Anxiety', 'Moderate TP'] --> ['High PostTest']"
"['Moderate TP', 'Moderate TN', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Positive Delta', 'Moderate TP', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Positive Delta', 'Normal Stress', 'Severe Anxiety', 'Moderate TP'] --> ['High PostTest']"
